order_id,customer_id,customer_name,age,gender,email,city,state,pincode,country,order_date,delivery_date,order_status,product_category,product_name,quantity,unit_price,total_price,discount_%,payment_method,shipping_carrier,delivery_days,express_delivery,warehouse_location,rating,review_sentiment,return_requested,customer_loyalty_tier
ORD100000,CUST7167,Raymond Rhodes,27,M,asmith@example.com,Houston,Texas,316323,USA,13-01-2025,23-01-2025,Returned,Beauty,Moisturiser,5,64047.84,256191.36,20,Cash on Delivery,USPS,10,No,Los Angeles Hub,3.8,Negative,Yes,Gold
ORD100001,CUST6672,Mrs. Mallory Larsen,54,M,jstokes@example.com,Aberdeen,Scotland,268747,UK,08-04-2025,15-04-2025,Shipped,Home & Kitchen,Air Fryer,6,35703.5,192798.9,10,Credit Card,Parcelforce,7,yes,Manchester Hub,3.2,Neutral,No,Silver
ORD100002,CUST6744,Lauren Smith,39,M,smiller@example.net,Geelong,Victoria,963842,Australia,05-12-2024,,Cancelled,Electronics,Charger,3,60765.01,136721.27,25,UPI,DHL,11,no,Sydney Hub,1.8,Neutral,No,Gold
ORD100003,CUST2153,William Hall,51,Other,ycox@example.com,Jumeirah,Dubai,559348,UAE,09-01-2026,,Pending,Toys,Board Game,9,36822.43,265121.5,20,upi,Aramex,4,Yes,Abu Dhabi Hub,3.4,Neutral,Yes,Gold
ORD100004,CUST7898,Brenda Sexton,40,M,nicholasking@example.net,Madurai,Tamil Nadu,263128,India,24-05-2024,,Cancelled,Sports,Cricket Bat,10,4553.37,38703.64,15,credit card,DTDC,13,Yes,Bengaluru Hub,2.3,Negative,No,Gold
ORD100005,CUST5170,Julie Kim,43,M,george84@example.com,Ballarat,Victoria,833012,Australia,15-08-2025,18-08-2025,Shipped,Grocery,Protein Powder,3,22395.51,53749.22,20,UPI,Couriers Please,3,No,Sydney Hub,3.5,Positive,No,Silver
ORD100006,CUST7728,Sandy Garcia,50,male,manderson@example.org,Bengaluru,Karnataka,413829,India,03-09-2024,17-09-2024,Delivered,Electronics,Smartphone,5,56479.65,268278.34,5,Credit Card,BlueDart,14,no,Kolkata Hub,3.1,,No,Platinum
ORD100007,CUST3343,Brian Johnson,35,male,khoward@example.net,Albany,New York,720447,USA,25-02-2025,26-02-2025,Returned,Electronics,Earbuds,2,9570.04,17226.07,10,Cash on Delivery,DHL,1,no,New York Hub,,,No,Bronze
ORD100008,CUST3675,Briana Reed,43,M,wthomas@example.org,Liverpool,England,961033,UK,23-04-2025,,Pending,Electronics,Laptop,4,44338.99,133016.97,25,UPI,DHL,9,No,Manchester Hub,,Negative,No,Silver
ORD100009,CUST4182,Chelsea Hayes,52,M,albertpham@example.net,Ballarat,Victoria,713740,Australia,09-06-2024,,Cancelled,Books,Fiction Novel,1,29212.32,29212.32,0,Net Banking,StarTrack,1,yes,Melbourne Hub,2.7,,No,Platinum
